,NDCG@5,P@5,R@5,NDCG@10,P@10,R@10,NDCG@20,P@20,R@20,MAP,MRR
Pointwise-Linear Regression,0.1745,0.1957,0.1658,0.2105,0.1674,0.2758,0.2581,0.1402,0.4447,0.2189,0.3792
Pointwise-Random Forest,0.2432,0.2739,0.2134,0.2753,0.1978,0.3024,0.3254,0.1543,0.4588,0.2707,0.4936
Pointwise-Gradient Boosting,0.3148,0.313,0.2409,0.34,0.2304,0.3547,0.3885,0.1685,0.5174,0.3327,0.6069
Pointwise-Neural Network,0.2606,0.2783,0.2302,0.2986,0.2087,0.3185,0.3376,0.1674,0.501,0.2906,0.5557
Pairwise-RankNet,0.3794,0.3913,0.3128,0.4285,0.313,0.4707,0.4655,0.2239,0.6405,0.4168,0.714
Pairwise-RankSVM,0.4033,0.4043,0.3316,0.4523,0.3174,0.4744,0.4872,0.2174,0.6288,0.4313,0.7613
Pairwise-Neural Pairwise,0.0734,0.1913,0.1938,0.1288,0.1891,0.3472,0.197,0.1554,0.5077,0.2678,0.3625
Listwise-LambdaMART,0.2917,0.2652,0.2162,0.3268,0.1957,0.3255,0.3678,0.1674,0.5202,0.2989,0.5539
Listwise-ListNet,0.3867,0.4,0.3337,0.4361,0.3196,0.4905,0.4727,0.2196,0.6352,0.4314,0.6924
Listwise-AdaRank,0.3812,0.4435,0.3429,0.4338,0.3196,0.4847,0.4604,0.2163,0.611,0.4449,0.7597
